user_id,traffic_source,purchase_date,revenue,campaign_name,campaign_id,ad_spent
1,Organic Search,2023-04-16 0:00:00,182.37,,,
1,Organic Search,2023-05-29 0:00:00,136.21,,,
1,Organic Search,2023-06-17 0:00:00,60.54,,,
1,Organic Search,2023-07-20 0:00:00,329.28,,,
1,Organic Search,2023-08-16 0:00:00,315.09,,,
2,Paid Search,2023-10-13 0:00:00,489.59,Google Ads - Black Friday,102,618.73
3,Email,2023-08-30 0:00:00,215.79,VIP Email - Exclusive Discount,302,127.2
3,Email,2024-02-03 0:00:00,368.64,Newsletter - Monthly Offer,301,564.05
4,Direct,2023-06-30 0:00:00,174.46,,,
5,Direct,2023-05-25 0:00:00,357.7,,,
5,Direct,2023-06-30 0:00:00,239.06,,,
5,Direct,2023-10-10 0:00:00,67.62,,,
5,Direct,2023-12-09 0:00:00,252.72,,,
6,Social Media,2023-04-14 0:00:00,375.71,Instagram - Summer Deal,202,146.4
6,Social Media,2023-06-29 0:00:00,146.9,Instagram - Summer Deal,202,40.85
6,Social Media,2023-07-24 0:00:00,362.29,Instagram - Summer Deal,202,133.92
7,Email,2023-02-23 0:00:00,130.23,Newsletter - Monthly Offer,301,143.77
7,Direct,2023-07-12 0:00:00,61.56,,,
7,Direct,2023-11-10 0:00:00,279.13,,,
7,Paid Search,2023-12-23 0:00:00,487.11,Google Ads - Black Friday,102,818.01
8,Email,2023-06-10 0:00:00,339.83,VIP Email - Exclusive Discount,302,278.2
8,Email,2024-02-18 0:00:00,438.61,VIP Email - Exclusive Discount,302,290.04
9,Email,2023-04-03 0:00:00,187.79,Newsletter - Monthly Offer,301,252.98
9,Email,2023-04-23 0:00:00,386.69,Newsletter - Monthly Offer,301,513.89
9,Paid Search,2023-11-05 0:00:00,367.54,Google Ads - Spring Sale,101,129.76
10,Direct,2023-04-21 0:00:00,161.4,,,
10,Direct,2023-05-18 0:00:00,477.88,,,
10,Direct,2023-09-01 0:00:00,280.39,,,
10,Direct,2023-09-27 0:00:00,196.86,,,
10,Direct,2023-10-17 0:00:00,130.25,,,
11,Organic Search,2023-05-08 0:00:00,173.37,,,
11,Referral,2023-10-24 0:00:00,402.03,,,
12,Email,2023-02-01 0:00:00,272.6,VIP Email - Exclusive Discount,302,239.19
12,Social Media,2023-05-15 0:00:00,353.35,Facebook - Holiday Promo,201,238.48
12,Social Media,2023-09-19 0:00:00,139.78,Instagram - Summer Deal,202,44.97
12,Email,2023-11-27 0:00:00,147.99,Newsletter - Monthly Offer,301,204.83
12,Organic Search,2024-01-23 0:00:00,356.17,,,
12,Email,2024-02-01 0:00:00,256.59,Newsletter - Monthly Offer,301,355.99
13,Referral,2023-08-08 0:00:00,143.2,,,
13,Referral,2023-09-27 0:00:00,222.86,,,
14,Social Media,2023-01-27 0:00:00,137.4,Facebook - Holiday Promo,201,101.14
14,Direct,2023-05-14 0:00:00,49,,,
14,Direct,2023-09-29 0:00:00,150.4,,,
14,Organic Search,2023-12-04 0:00:00,280.49,,,
14,Direct,2024-01-01 0:00:00,445.68,,,
15,Social Media,2023-03-27 0:00:00,245.72,Instagram - Summer Deal,202,80.2
15,Direct,2023-04-28 0:00:00,441.4,,,
15,Referral,2023-05-01 0:00:00,467.39,,,
15,Paid Search,2023-08-19 0:00:00,323.46,Google Ads - Spring Sale,101,88.06
15,Social Media,2023-12-13 0:00:00,395.69,Instagram - Summer Deal,202,177.1
16,Organic Search,2023-02-10 0:00:00,349.35,,,
16,Organic Search,2023-11-28 0:00:00,165.27,,,
16,Organic Search,2024-01-04 0:00:00,175.85,,,
16,Organic Search,2024-01-21 0:00:00,252.73,,,
17,Referral,2023-01-20 0:00:00,113.35,,,
17,Referral,2023-02-15 0:00:00,509.11,,,
17,Referral,2023-03-02 0:00:00,355.09,,,
17,Referral,2023-07-07 0:00:00,271.2,,,
17,Paid Search,2023-10-30 0:00:00,93.62,Google Ads - Black Friday,102,100.78
17,Referral,2024-01-13 0:00:00,344.66,,,
17,Referral,2024-02-18 0:00:00,107.83,,,
18,Referral,2023-05-03 0:00:00,314.99,,,
18,Referral,2023-07-21 0:00:00,331.75,,,
18,Referral,2023-10-21 0:00:00,320.97,,,
19,Social Media,2023-09-17 0:00:00,502.57,Facebook - Holiday Promo,201,333.44
20,Organic Search,2023-01-01 0:00:00,103.95,,,
20,Organic Search,2023-07-13 0:00:00,274.25,,,
22,Direct,2023-06-28 0:00:00,436.3,,,
22,Paid Search,2023-09-17 0:00:00,109.07,Google Ads - Spring Sale,101,35.88
22,Paid Search,2023-12-02 0:00:00,478.37,Google Ads - Black Friday,102,670.29
23,Social Media,2023-03-30 0:00:00,96.83,Facebook - Holiday Promo,201,62.31
23,Social Media,2023-08-25 0:00:00,116.44,Facebook - Holiday Promo,201,69.83
24,Social Media,2023-08-22 0:00:00,176.77,Instagram - Summer Deal,202,84.83
24,Social Media,2023-10-08 0:00:00,104.29,Facebook - Holiday Promo,201,59.88
24,Social Media,2023-11-11 0:00:00,310.21,Instagram - Summer Deal,202,112.81
25,Referral,2023-04-26 0:00:00,281.58,,,
25,Organic Search,2023-11-15 0:00:00,402.21,,,
25,Email,2023-11-25 0:00:00,293.24,VIP Email - Exclusive Discount,302,247.03
25,Email,2023-12-04 0:00:00,437.42,Newsletter - Monthly Offer,301,646.28
26,Social Media,2023-01-20 0:00:00,166.27,Facebook - Holiday Promo,201,100.04
26,Direct,2023-05-03 0:00:00,383.84,,,
26,Direct,2023-09-11 0:00:00,322.29,,,
26,Direct,2023-10-21 0:00:00,78.27,,,
27,Organic Search,2023-04-15 0:00:00,136.81,,,
27,Organic Search,2023-07-18 0:00:00,307.33,,,
27,Organic Search,2023-09-05 0:00:00,358.7,,,
27,Organic Search,2023-10-19 0:00:00,160.93,,,
28,Paid Search,2023-03-17 0:00:00,149.66,Google Ads - Spring Sale,101,61.35
28,Paid Search,2023-04-26 0:00:00,76.17,Google Ads - Spring Sale,101,24.4
28,Paid Search,2023-12-09 0:00:00,318.25,Google Ads - Black Friday,102,428.24
29,Paid Search,2023-04-26 0:00:00,212.18,Google Ads - Black Friday,102,262.11
29,Social Media,2023-07-01 0:00:00,444.76,Instagram - Summer Deal,202,195.57
29,Direct,2023-10-24 0:00:00,188.9,,,
30,Email,2023-07-09 0:00:00,74.26,Newsletter - Monthly Offer,301,95.65
30,Email,2023-10-11 0:00:00,411.09,VIP Email - Exclusive Discount,302,309.02
30,Email,2023-12-20 0:00:00,226.44,VIP Email - Exclusive Discount,302,152.67
31,Email,2023-04-03 0:00:00,311.1,VIP Email - Exclusive Discount,302,252.25
31,Email,2023-09-25 0:00:00,194.73,Newsletter - Monthly Offer,301,244.82
31,Paid Search,2023-11-25 0:00:00,454.43,Google Ads - Spring Sale,101,141.35
31,Email,2023-12-25 0:00:00,318.77,Newsletter - Monthly Offer,301,491.83
31,Social Media,2023-12-29 0:00:00,101.53,Instagram - Summer Deal,202,41.74
32,Email,2023-01-30 0:00:00,137.29,Newsletter - Monthly Offer,301,179.58
32,Social Media,2023-02-12 0:00:00,78.05,Facebook - Holiday Promo,201,59.27
32,Organic Search,2023-08-06 0:00:00,137.53,,,
32,Social Media,2023-09-07 0:00:00,466.96,Instagram - Summer Deal,202,154.09
32,Email,2023-09-17 0:00:00,419.79,VIP Email - Exclusive Discount,302,240.01
33,Social Media,2023-04-14 0:00:00,295.68,Facebook - Holiday Promo,201,214.87
33,Organic Search,2023-11-26 0:00:00,136.22,,,
34,Organic Search,2023-02-28 0:00:00,108.43,,,
34,Organic Search,2023-04-30 0:00:00,340.03,,,
35,Referral,2023-04-21 0:00:00,473.99,,,
35,Referral,2023-10-09 0:00:00,234.34,,,
36,Referral,2023-02-01 0:00:00,108.07,,,
37,Direct,2023-12-06 0:00:00,112.35,,,
38,Email,2023-02-28 0:00:00,475.46,VIP Email - Exclusive Discount,302,293.33
38,Organic Search,2023-08-27 0:00:00,249.46,,,
39,Organic Search,2023-01-29 0:00:00,387.48,,,
39,Organic Search,2023-02-17 0:00:00,235.5,,,
39,Organic Search,2023-03-31 0:00:00,274.95,,,
39,Referral,2023-05-01 0:00:00,151.58,,,
39,Organic Search,2023-05-31 0:00:00,78.48,,,
39,Organic Search,2023-06-10 0:00:00,500.29,,,
39,Organic Search,2023-08-17 0:00:00,55.83,,,
39,Organic Search,2023-09-30 0:00:00,225.32,,,
40,Organic Search,2024-02-22 0:00:00,156.64,,,
41,Paid Search,2023-02-25 0:00:00,447.61,Google Ads - Black Friday,102,795.57
41,Paid Search,2023-12-26 0:00:00,438.64,Google Ads - Black Friday,102,891.9
42,Email,2023-10-10 0:00:00,381.02,VIP Email - Exclusive Discount,302,269.39
42,Email,2023-11-03 0:00:00,345.2,Newsletter - Monthly Offer,301,374.78
42,Email,2023-11-24 0:00:00,164.06,VIP Email - Exclusive Discount,302,129.42
43,Direct,2023-06-19 0:00:00,343.76,,,
43,Direct,2023-08-20 0:00:00,74.09,,,
43,Referral,2023-11-22 0:00:00,141.67,,,
43,Direct,2024-02-12 0:00:00,88.37,,,
44,Email,2023-05-27 0:00:00,53.4,VIP Email - Exclusive Discount,302,46.1
44,Email,2023-09-12 0:00:00,151.14,Newsletter - Monthly Offer,301,212.36
44,Email,2023-09-30 0:00:00,231.21,VIP Email - Exclusive Discount,302,198.47
46,Paid Search,2023-02-12 0:00:00,49.27,Google Ads - Black Friday,102,80.05
46,Paid Search,2023-02-15 0:00:00,353.15,Google Ads - Black Friday,102,450.89
46,Paid Search,2023-03-21 0:00:00,258.84,Google Ads - Spring Sale,101,111.53
